X,Graphic Profile 1
206.290092988,-6.0416
206.78751229,-5.93090000001
207.284931589,-5.9568
207.782350893,-6.0031
208.279770193,-6.01549999999
208.779359069,-6.1382
209.278947944,-6.12420000001
209.77853682,-6.2193
210.278125695,-6.3317
210.777714569,-6.54180000001
211.277303445,-7.0434
211.77689232,-7.5681
212.276481196,-7.53630000001
212.77607007,-7.5586
213.275658947,-7.6845
213.775247823,-9.3082
214.274836697,-9.3625
214.774425571,-9.2975
215.274014447,-8.921
215.773603322,-8.36139999999
216.273192198,-9.1835
216.772781073,-7.7392
217.272369949,-7.0723
217.771958823,-7.0555
218.271547699,-6.7751
218.771136573,-6.7496
219.27072545,-6.6142
219.770314324,-6.49430000001
220.2699032,-6.4259
220.769492074,-6.35370000001
221.269080951,-6.3115
221.768669825,-6.2363
222.268258701,-6.2591
222.767847575,-6.1596
223.267436452,-6.094
223.767025327,-6.07460000001
224.266614203,-6.016
224.766203077,-5.9721
225.265791951,-6.0616
225.765380827,-6.2087
226.264969704,-6.2749
226.764558578,-6.22500000001
227.264147454,-6.1646
227.763736328,-6.2167
228.263325205,-6.1203
228.762914079,-6.11010000001
229.262502953,-5.83869999999
229.76209183,-5.8772
230.261680705,-5.9664
230.761269581,-6.0153
231.260858456,-6.0058
231.760447331,-5.9528
232.260036207,-5.8492
232.759625081,-5.64109999999
233.259213956,-5.77830000001
233.758802833,-5.98450000001
234.258391707,-6.5827
234.757980583,-6.7276
235.257569457,-6.7325
235.757158334,-6.4945
236.25674721,-6.3582
236.756336084,-6.69749999999
237.255924958,-6.7896
237.755513834,-6.7899
238.255102709,-6.8749
238.754691585,-6.8023
239.254280459,-6.4638
239.753869335,-6.276
240.25345821,-5.9054
240.753047086,-5.86440000001
241.252635961,-5.9192
241.752224837,-6.0053
242.251813711,-5.9814
242.751402588,-5.976
243.250991462,-5.9902
243.750580338,-6.00900000001
244.250169212,-5.9359
244.749758088,-6.0025
245.249346963,-6.0114
245.748935838,-6.15850000001
246.248524713,-6.2522
246.74811359,-6.3486
247.247702464,-6.833
247.747291339,-7.59849999999
248.246880214,-7.5193
248.746469091,-8.0631
249.246057965,-8.1879
249.745646842,-8.07490000001
250.245235715,-7.64109999999
250.744824592,-7.2968
251.244413466,-7.8146
251.74400234,-8.24370000001
252.243591216,-8.1548
252.74318009,-7.97900000001
253.242768968,-7.7069
253.742357844,-7.2724
254.241946718,-6.75380000001
254.741535592,-6.622
255.241124468,-6.36079999999
255.740713343,-6.24490000001
256.240302219,-6.2175
256.739891093,-6.2032
257.239479969,-6.15820000001
257.739068843,-6.17999999999
258.23865772,-6.13189999999
258.738246594,-6.0895
259.23783547,-6.1012
259.737424346,-6.0411
260.237013222,-5.98239999999
260.736602096,-6.02619999999
261.236190972,-6.0401
261.735779846,-5.9993
262.235368722,-6.0009
262.734957596,-6.00380000001
263.234546472,-6.06540000001
263.734135347,-6.15360000001
264.233724223,-6.11659999999
264.733313097,-6.1917
